aggregator,block_dimension,budget,dimension,discrete,elapsed_budget,elapsed_time,error,function_class,hashing,loss,name,noise_level,num_blocks,num_workers,optimizer_name,rotation,seed,translation_factor,useful_dimensions,useless_variables
max,20,1000,20,False,1000,0.8247299194335938,,ArtificialFunction,False,1.607546370940201e+42,cigar,10,1,1,SPSA,True,639972074,1,20,0
max,20,1000,20,False,1000,0.9516870975494384,,ArtificialFunction,False,318.9751520449356,sphere4,10,1,1,SPSA,True,1330305692,1,20,0
max,20,1000,20,False,1000,0.4032905101776123,,ArtificialFunction,False,19.976356849949767,sphere,10,1,1,SPSA,False,864515722,1,20,0
max,20,1000,20,False,1000,0.4576358795166016,,ArtificialFunction,False,2.7864431483771746e+48,cigar,10,1,1,SPSA,False,4112876752,1,20,0
max,20,1000,20,False,1000,0.4977216720581055,,ArtificialFunction,False,288.9800748611296,sphere4,10,1,1,SPSA,False,953457213,1,20,0
max,20,2000,20,False,2000,1.3640875816345217,,ArtificialFunction,False,20.387977131968,sphere,10,1,1,SPSA,True,2203819496,1,20,0
max,20,2000,20,False,2000,1.4658496379852295,,ArtificialFunction,False,1.3036658519957665e+41,cigar,10,1,1,SPSA,True,1371922285,1,20,0
max,20,2000,20,False,2000,1.4080247879028318,,ArtificialFunction,False,321.3052172099306,sphere4,10,1,1,SPSA,True,1367021210,1,20,0
max,20,2000,20,False,2000,0.9683880805969238,,ArtificialFunction,False,19.30663663701534,sphere,10,1,1,SPSA,False,1563882521,1,20,0
max,20,2000,20,False,2000,1.0218787193298342,,ArtificialFunction,False,1.1555204433464017e+47,cigar,10,1,1,SPSA,False,2315846103,1,20,0
max,20,2000,20,False,2000,0.9710543155670166,,ArtificialFunction,False,346.23780383171106,sphere4,10,1,1,SPSA,False,2315041782,1,20,0
max,20,4000,20,False,4000,2.151366233825684,,ArtificialFunction,False,20.128364180341816,sphere,10,1,1,SPSA,True,950282731,1,20,0
max,20,4000,20,False,4000,2.541619777679444,,ArtificialFunction,False,4.393805890819039e+44,cigar,10,1,1,SPSA,True,2926696992,1,20,0
max,20,4000,20,False,4000,2.258505582809448,,ArtificialFunction,False,426.45889259166665,sphere4,10,1,1,SPSA,True,3463811063,1,20,0
max,20,4000,20,False,4000,1.875184774398804,,ArtificialFunction,False,26.58878436689897,sphere,10,1,1,SPSA,False,2297594116,1,20,0
max,20,4000,20,False,4000,2.0325946807861333,,ArtificialFunction,False,2.6756697245043956e+46,cigar,10,1,1,SPSA,False,1469972429,1,20,0
max,20,4000,20,False,4000,1.7377514839172363,,ArtificialFunction,False,342.6205758270088,sphere4,10,1,1,SPSA,False,1062976650,1,20,0
max,20,8000,20,False,8000,4.045353412628174,,ArtificialFunction,False,22.32337693459708,sphere,10,1,1,SPSA,True,2314509962,1,20,0
max,20,8000,20,False,8000,3.743283033370972,,ArtificialFunction,False,4.2564409170224196e+45,cigar,10,1,1,SPSA,True,4150343168,1,20,0
max,20,8000,20,False,8000,3.6436824798583984,,ArtificialFunction,False,363.4595724698408,sphere4,10,1,1,SPSA,True,25227734,1,20,0
max,20,8000,20,False,8000,3.6542134284973145,,ArtificialFunction,False,14.938810937831931,sphere,10,1,1,SPSA,False,650353748,1,20,0
max,20,8000,20,False,8000,3.9312746524810787,,ArtificialFunction,False,1.8240915419091002e+45,cigar,10,1,1,SPSA,False,2891167877,1,20,0
max,20,8000,20,False,8000,3.8803558349609375,,ArtificialFunction,False,272.94047045656146,sphere4,10,1,1,SPSA,False,940424741,1,20,0
max,20,16000,20,False,16000,6.838325500488281,,ArtificialFunction,False,31.85325022986766,sphere,10,1,1,SPSA,True,902047352,1,20,0
max,20,16000,20,False,16000,7.535702466964723,,ArtificialFunction,False,6.621812186657885e+41,cigar,10,1,1,SPSA,True,1264896101,1,20,0
max,20,16000,20,False,16000,7.782337427139282,,ArtificialFunction,False,302.23193803302286,sphere4,10,1,1,SPSA,True,4005304361,1,20,0
max,20,16000,20,False,16000,6.546426773071289,,ArtificialFunction,False,25.93432520480201,sphere,10,1,1,SPSA,False,1483179752,1,20,0
max,20,16000,20,False,16000,7.497717618942263,,ArtificialFunction,False,3.178968533100238e+46,cigar,10,1,1,SPSA,False,1607368935,1,20,0
max,20,16000,20,False,16000,7.053748846054077,,ArtificialFunction,False,334.99619410527174,sphere4,10,1,1,SPSA,False,4257751619,1,20,0
max,20,32000,20,False,32000,12.770554542541506,,ArtificialFunction,False,32.96604892448781,sphere,10,1,1,SPSA,True,3231614671,1,20,0
max,20,32000,20,False,32000,12.775629043579102,,ArtificialFunction,False,2.2555177938668687e+43,cigar,10,1,1,SPSA,True,973174084,1,20,0
max,20,32000,20,False,32000,13.30014157295227,,ArtificialFunction,False,322.0785575807413,sphere4,10,1,1,SPSA,True,3277657037,1,20,0
max,20,32000,20,False,32000,11.76011848449707,,ArtificialFunction,False,16.707615759125527,sphere,10,1,1,SPSA,False,4191431853,1,20,0
max,20,32000,20,False,32000,12.95621371269226,,ArtificialFunction,False,1.0141191695086984e+43,cigar,10,1,1,SPSA,False,3738766715,1,20,0
max,20,32000,20,False,32000,12.252017736434937,,ArtificialFunction,False,369.41836205650594,sphere4,10,1,1,SPSA,False,480228600,1,20,0
max,20,64000,20,False,64000,22.71114087104797,,ArtificialFunction,False,27.135519440563087,sphere,10,1,1,SPSA,True,472923921,1,20,0
max,20,64000,20,False,64000,23.869757175445557,,ArtificialFunction,False,2.9371552242981753e+47,cigar,10,1,1,SPSA,True,743046907,1,20,0
max,20,64000,20,False,64000,22.148030042648315,,ArtificialFunction,False,325.02967971335244,sphere4,10,1,1,SPSA,True,1288885238,1,20,0
max,20,64000,20,False,64000,21.26774382591248,,ArtificialFunction,False,14.993850162518108,sphere,10,1,1,SPSA,False,3433715584,1,20,0
max,20,64000,20,False,64000,23.616894483566284,,ArtificialFunction,False,1.098366765351256e+43,cigar,10,1,1,SPSA,False,2039704735,1,20,0
max,20,64000,20,False,64000,21.575483560562134,,ArtificialFunction,False,361.49062025275634,sphere4,10,1,1,SPSA,False,3951248137,1,20,0
max,20,500,20,False,500,0.34734678268432617,,ArtificialFunction,False,13.570232922242653,sphere,10,1,1,SPSA,True,3645644232,1,20,0
max,20,128000,20,False,128000,43.84860467910767,,ArtificialFunction,False,30.65963619984359,sphere,10,1,1,SPSA,True,2189210566,1,20,0
max,20,500,20,False,500,0.3528032302856445,,ArtificialFunction,False,7.135397547615552e+45,cigar,10,1,1,SPSA,True,3494301429,1,20,0
max,20,128000,20,False,128000,48.51905488967896,,ArtificialFunction,False,2.1804703875277063e+43,cigar,10,1,1,SPSA,True,1175407145,1,20,0
max,20,500,20,False,500,0.3231298923492432,,ArtificialFunction,False,328.3404040308926,sphere4,10,1,1,SPSA,True,768352140,1,20,0
max,20,128000,20,False,128000,45.406906366348274,,ArtificialFunction,False,337.52584197528284,sphere4,10,1,1,SPSA,True,4058909090,1,20,0
max,20,500,20,False,500,0.1960902214050293,,ArtificialFunction,False,18.78861854450264,sphere,10,1,1,SPSA,False,2539850373,1,20,0
max,20,128000,20,False,128000,39.37615013122559,,ArtificialFunction,False,19.077813802170574,sphere,10,1,1,SPSA,False,979327144,1,20,0
max,20,500,20,False,500,0.28128623962402344,,ArtificialFunction,False,1.434140710678153e+47,cigar,10,1,1,SPSA,False,233488247,1,20,0
max,20,128000,20,False,128000,44.531005144119256,,ArtificialFunction,False,3.393705827751356e+45,cigar,10,1,1,SPSA,False,470069782,1,20,0
max,20,500,20,False,500,0.2431025505065918,,ArtificialFunction,False,349.258778029296,sphere4,10,1,1,SPSA,False,476682624,1,20,0
max,20,128000,20,False,128000,41.373383283615105,,ArtificialFunction,False,382.71301122374916,sphere4,10,1,1,SPSA,False,2051514303,1,20,0
max,20,1000,20,False,1000,0.8456535339355469,,ArtificialFunction,False,28.29094393249413,sphere,10,1,1,SPSA,True,1552795804,1,20,0
max,20,1000,20,False,1000,0.9962449073791504,,ArtificialFunction,False,2.405994436706309e+44,cigar,10,1,1,SPSA,True,3515910811,1,20,0
max,20,1000,20,False,1000,0.8364851474761963,,ArtificialFunction,False,330.1667675666177,sphere4,10,1,1,SPSA,True,1182837959,1,20,0
max,20,1000,20,False,1000,0.4514024257659912,,ArtificialFunction,False,15.167523918056135,sphere,10,1,1,SPSA,False,3979900619,1,20,0
max,20,1000,20,False,1000,0.5524885654449463,,ArtificialFunction,False,2.841072023551309e+40,cigar,10,1,1,SPSA,False,2276333653,1,20,0
max,20,1000,20,False,1000,0.4894368648529053,,ArtificialFunction,False,312.05554023555766,sphere4,10,1,1,SPSA,False,107172470,1,20,0
max,20,2000,20,False,2000,1.4200618267059326,,ArtificialFunction,False,20.193351880098305,sphere,10,1,1,SPSA,True,1313911727,1,20,0
max,20,2000,20,False,2000,1.4840309619903564,,ArtificialFunction,False,6.4091386117097486e+41,cigar,10,1,1,SPSA,True,3531743453,1,20,0
max,20,2000,20,False,2000,1.3900084495544434,,ArtificialFunction,False,300.6513852187525,sphere4,10,1,1,SPSA,True,1307707409,1,20,0
max,20,2000,20,False,2000,0.988530158996582,,ArtificialFunction,False,15.386595761761795,sphere,10,1,1,SPSA,False,3092054765,1,20,0
max,20,2000,20,False,2000,0.9528791904449464,,ArtificialFunction,False,1.4572838426178708e+43,cigar,10,1,1,SPSA,False,479925151,1,20,0
max,20,2000,20,False,2000,0.9780714511871338,,ArtificialFunction,False,342.83762844058924,sphere4,10,1,1,SPSA,False,911000599,1,20,0
max,20,4000,20,False,4000,2.1587138175964355,,ArtificialFunction,False,17.999144382076352,sphere,10,1,1,SPSA,True,1073308064,1,20,0
max,20,4000,20,False,4000,2.399810075759888,,ArtificialFunction,False,2.145739185218019e+43,cigar,10,1,1,SPSA,True,3747055934,1,20,0
max,20,4000,20,False,4000,1.998406171798706,,ArtificialFunction,False,359.1450623152625,sphere4,10,1,1,SPSA,True,3941190410,1,20,0
max,20,4000,20,False,4000,1.7727775573730469,,ArtificialFunction,False,33.97816239863109,sphere,10,1,1,SPSA,False,139567247,1,20,0
max,20,4000,20,False,4000,2.106292486190796,,ArtificialFunction,False,4.549126267332541e+44,cigar,10,1,1,SPSA,False,1134502084,1,20,0
